Code	,Shortname	,Longname			,Latinname		,Abbreviation	,Category	,NAFO_Main
320	,A SILVERSIDE	,ATLANTIC SILVERSIDE			,MENIDIA MENIDIA		,SSA	,3	,No
322	,THR HERRING	,ATLANTIC THREAD HERRING		,OPISTHONEMA OGLINUM		,THA	,3	,No
326	,SLICKHEAD	,BAIRD'S SLICKHEAD			,ALEPOCEPHALUS BAIRDII		,ALC	,3	,No
330	,BLACK DRUM	,BLACK DRUM				,POGONIAS CROMIS		,BDM	,3	,No
332	,B SEABASS	,BLACK SEABASS				,CENTROPRISTIS STRIATA		,BSB	,3	,No
334	,BLUEBACK	,BLUEBACK SHAD				,ALOSA AESTIVALIS		,BBH	,3	,No
340	,CAPELIN	,CAPELIN				,MALLOTUS VILLOSUS		,CAP	,3	,Yes
342	,CHARS		,CHARS (NS)				,SALVELINUS SP.			,CHR	,3	,No
344	,COBIA		,COBIA					,RACHYCENTRON CANADUM		,CBA	,3	,No
346	,C POMPANO	,COMMON (FLORIDA) POMPANO		,TRACHINOTUS CAROLINUS		,POM	,3	,No
354	,G SHAD		,AMERICAN GIZZARD SHAD			,DOROSOMA CEPEDIANUM		,SHG	,3	,No
356	,GRUNTS		,GRUNTS (NS)				,POMADASYIDAE			,GRX	,3	,No
360	,H SHAD		,HICKORY SHAD				,ALOSA MEDIOCRIS		,SHH	,3	,No
365	,LAMPFISHES	,LAMPFISHES (NS)			,NOTOSCOPELUS SP.		,LAX	,3	,No
370	,MULLETS	,MULLETS (NS)				,MUGILIDAE			,MUL	,3	,No
380	,HARVESTFISH	,N ATLANTIC HARVESTFISH			,PEPRILUS ALEPIDOTUS (=PARU)	,HVF	,3	,No
390	,PIGFISH	,PIGFISH				,ORTHOPRISTIS CHRYSOPTERA	,PIG	,3	,No
400	,SMELT		,RAINBOW SMELT				,OSMERUS MORDAX			,SMR	,3	,No
402	,RED DRUM	,RED DRUM				,SCIAENOPS OCELLATUS		,RDM	,3	,No
404	,RED PORGY	,RED PORGY				,PAGRUS PAGRUS			,RPG	,3	,No
406	,ROUGH SCAD	,ROUGH SCAD				,TRACHURUS LATHAMI		,RSC	,3	,No
410	,SAND PERCH	,SAND PERCH				,DIPLECTRUM FORMOSUM		,PES	,3	,No
412	,SHEEPSHEAD	,SHEEPSHEAD				,ARCHOSARGUS PROBATOCEPHALUS	,SPH	,3	,No
414	,SPOT CROAKER	,SPOT CROAKER				,LEIOSTOMUS XANTHURUS		,SPT	,3	,No
416	,S WEAKFISH	,SPOTTED WEAKFISH			,CYNOSCION NEBULOSUS		,SWF	,3	,No
418	,SQUETEAGUE	,SQUETEAGUE (GRAY WEAKFISH)		,CYNOSCION REGALIS		,STG	,3	,No
420	,STRIPED BASS	,STRIPED BASS				,MORONE SAXATILIS		,STB	,3	,No
422	,STURGEONS	,STURGEONS (NS)				,ACIPENSERIDAE			,STU	,3	,No
430	,TARPON		,TARPON	TARPON (=MEGALOPS) 		,ATLANTICUS			,TAR	,3	,No
432	,TROUTS		,TROUTS (NS)				,SALMO SP.			,TRO	,3	,No
440	,WHITE PERCH	,WHITE PERCH				,MORONE AMERICANA		,PEW	,3	,No
442	,ALFONSINOS	,ALFONSINOS (NS)			,BERYX SP.			,ALF	,3	,No
452	,S DOGFISH	,SPINY (=PICKED) DOGFISH		,SQUALUS ACANTHIAS		,DGS	,3	,Yes
459	,DOGFISHES	,DOGFISHES (NS)				,SQUALIDAE			,DGX	,3	,No
460	,SAND TIGER	,SAND TIGER SHARK			,ODONTASPIS TAURUS		,CCT	,3	,No
462	,PORBEAGLE	,PORBEAGLE				,LAMNA NASUS			,POR	,3	,Yes
464	,SHORTFIN MAKO	,SHORTFIN MAKO SHARK			,ISURUS OXYRINCHUS		,SMA	,3	,No
467	,DUSKY SHARK	,DUSKY SHARK				,CARCHARHINUS OBSCURUS		,DUS	,3	,No
468	,BLUE SHARK	,GREAT BLUE SHARK			,PRIONACE GLAUCA		,BSH	,3	,No
469	,LARGE SHARKS	,LARGE SHARKS (NS)			,SQUALIFORMES			,SHX	,3	,No
470	,SHARPNOSE SHARK,ATLANTIC SHARPNOSE SHARK		,RHIZOPRIONODON TERRAENOVAE	,RHT	,3	,No
472	,BLACK DOGFISH	,BLACK DOGFISH				,CENTROSCYLLIUM FABRICII	,CFB	,3	,No
473	,BOREAL SHARK	,BOREAL (GREENLAND) SHARK		,SOMNIOUSUS MICROCEPHALUS	,GSK	,3	,No
474	,BASKING SHARK	,BASKING SHARK				,CETORHINUS MAXIMUS		,BSK	,3	,No
479	,SKATES		,SKATES (NS)				,RAJA SP.			,SKA	,3	,No
480	,LITTLE SKATE	,LITTLE SKATE				,LEUCORAJA ERINACEA		,RJD	,3	,No
482	,ARCTIC SKATE	,ARCTIC SKATE				,AMBLYRAJA HYPERBOREA		,RJG	,3	,No
484	,BARNDOOR SKATE	,BARNDOOR SKATE				,DIPTURUS LAEVIS		,RJL	,3	,No
487	,WINTER SKATE	,WINTER SKATE				,LEUCORAJA OCELLATA		,RJT	,3	,No
488	,THORNY SKATE	,THORNY SKATE (STARRY RAY)		,AMBLYRAJA RADIATA		,RJR	,3	,Yes
489	,SMOOTH SKATE	,SMOOTH SKATE				,MALACORAJA SENTA		,RJS	,3	,No
490	,SPINYTAIL SKATE,SPINYTAIL (SPINETAIL RAY)		,BATHYRAJA SPINICAUDA		,RJQ	,3	,No
491	,RAYS MANTAS (NS),RAYS STINGRAYS MANTAS (NS)		,RAJIFORMES			,SRX	,3	,No
499	,FINFISH (NS)	,FINFISHES (NS)				,...				,FIN	,3	,No
502	,LONGFIN SQUID	,LONGFIN SQUID				,LOLIGO PEALEI			,SQL	,5	,No
504	,SHORTFIN SQUID	,(NORTHERN) SHORTFIN SQUID		,ILLEX ILLECEBROSUS		,SQI	,5	,No
509	,SQUIDS (NS)	,SQUIDS (NS)				,LOLIGINIDAE OMMASTREPHIDAE	,SQU	,5	,No
512	,RAZOR CLAM	,ATLANTIC RAZOR CLAM			,ENSIS DIRECTUS			,CLR	,5	,No
514	,HARD CLAM	,HARD CLAM				,MERCENARIA MERCENARIA		,CLH	,5	,Yes
516	,OCEAN QUAHOG	,OCEAN QUAHOG				,ARCTICA ISLANDICA		,CLQ	,5	,No
518	,SOFT CLAM	,SOFT CLAM				,MYA ARENARIA			,CLS	,5	,No
520	,SURF CLAM	,SURF CLAM				,SPISULA SOLIDISSIMA		,CLB	,5	,Yes
525	,STIMPSON'S CLAM,STIMPSON'S SURF CLAM			,SPISULA POLYNYMA		,CLT	,5	,No
529	,CLAMS (NS)	,CLAMS (NS)				,BIVALVIA			,CLX	,5	,No
532	,BAY SCALLOP	,BAY SCALLOP				,ARGOPECTEN IRRADIANS		,SCB	,5	,No
534	,CALICO SCALLOP	,CALICO SCALLOP				,ARGOPECTEN GIBBUS		,SCC	,5	,No
535	,ICELAND SCALLOP,ICELANDIC SCALLOP			,CHLAMYS ISLANDICA		,ISC	,5	,No
536	,SEA SCALLOP	,SEA SCALLOP				,PLACOPECTEN MAGELLANICUS	,SCA	,5	,Yes
539	,SCALLOPS (NS)	,SCALLOPS (NS)				,PECTINIDAE			,SCX	,5	,No
542	,OYSTER		,AMERICAN CUPPED OYSTER			,CRASSOSTREA VIRGINICA		,OYA	,5	,No
552	,BLUE MUSSEL	,BLUE MUSSEL				,MYTILUS EDULIS			,MUS	,5	,No
562	,WHELKS		,WHELKS (NS)				,BUSYCON SP.			,WHX	,5	,No
564	,PERIWINKLES	,PERIWINKLES (NS)			,LITTORINA SP.			,PER	,5	,No
589	,MOLLUSCS (NS)	,MARINE MOLLUSCS (NS)			,MOLLUSCA			,MOL	,5	,No
602	,ROCK CRAB	,ATLANTIC ROCK CRAB			,CANCER IRRORATUS		,CRK	,5	,No
604	,BLUE CRAB	,BLUE CRAB				,CALLINECTES SAPIDUS		,CRB	,5	,Yes
606	,GREEN CRAB	,GREEN CRAB				,CARCINUS MAENAS		,CRG	,5	,No
608	,JONAH CRAB	,JONAH CRAB				,CANCER BOREALIS		,CRJ	,5	,No
610	,QUEEN CRAB	,QUEEN CRAB				,CHIONOECETES OPILIO		,CRQ	,5	,Yes
612	,RED CRAB	,RED CRAB				,GERYON QUINQUEDENS		,CRR	,5	,No
614	,STONE CRAB	,STONE KING CRAB			,LITHODES MAIA			,KCT	,5	,No
619	,CRABS (NS)	,MARINE CRABS (NS)			,REPTANTIA			,CRA	,5	,No
622	,LOBSTER	,AMERICAN LOBSTER			,HOMARUS AMERICANUS		,LBA	,5	,No
632	,N PRAWN	,NORTHERN PRAWN				,PANDALUS BOREALIS		,PRA	,5	,Yes
633	,AESOP SHRIMP	,AESOP SHRIMP				,PANDALUS MONTAGUI		,AES	,5	,No
638	,PENAEUS SHRIMPS,PENAEUS SHRIMPS (NS)			,PENAEUS SP.			,PEN	,5	,No
639	,SHRIMPS (NS)	,PINK (=PANDALID) SHRIMPS		,PANDALUS SP.			,PAN	,5	,Yes
649	,CRUSTACEANS (NS),MARINE CRUSTACEANS (NS)		,CRUSTACEA			,CRU	,5	,No
652	,SEA URCHIN	,SEA URCHIN				,STRONGYLOCENTROTUS SP.		,URC	,5	,No
669	,WORMS (NS)	,MARINE WORMS (NS)			,POLYCHAETA			,WOR	,5	,No
672	,HORSESHOE CRAB	,HORSESHOE CRAB				,LIMULUS POLYPHEMUS		,HSC	,5	,No
699	,INVERT. (NS)	,MARINE INVERTEBRATES (NS)		,INVERTEBRATA			,INV	,5	,No
702	,BROWN SEAWEEDS	,BROWN SEAWEEDS				,PHAEOPHYCEAE			,SWB	,6	,No
704	,RED SEAWEEDS	,RED SEAWEEDS				,RHODOPHYCEAE			,SWR	,6	,No
709	,SEAWEEDS (NS)	,SEAWEEDS (NS)				,ALGAE				,SWX	,6	,No
