Code	,Shortname	,Longname			,Latinname		,Abbreviation	,Category	,NAFO_Main
  1	,HOURS FISHED	,HOURS FISHED				,,,,No
  2	,DAYS FISHED	,DAYS FISHED				,,,,No
  3	,DAYS ON GROUND	,DAYS ON GROUND				,,,,No
101	,COD		,ATLANTIC COD				,GADUS MORHUA			,COD	,1	,Yes
102	,HADDOCK	,HADDOCK				,MELANOGRAMMUS AEGLEFINUS	,HAD	,1	,Yes
103	,REDFISHES	,ATLANTIC REDFISHES (NS)		,SEBASTES SP.			,RED	,1	,Yes
104	,SILVER HAKE	,SILVER HAKE				,MERLUCCIUS BILINEARIS		,HKS	,1	,Yes
105	,RED HAKE	,RED HAKE				,UROPHYCIS CHUSS		,HKR	,1	,Yes
106	,POLLOCK	,POLLOCK (SAITHE)			,POLLACHIUS VIRENS		,POK	,1	,Yes
108	,G REDFISH	,GOLDEN REDFISH				,SEBASTES MARINUS		,REG	,1	,Yes
109	,B REDFISH	,BEAKED REDFISH(DEEP-WATER)		,SEBASTES MENTELLA		,REB	,1	,No
110	,ACADIAN REDFISH,ACADIAN REDFISH			,SEBASTES FASCIATUS		,REN	,1	,No
112	,A PLAICE	,AMERICAN PLAICE			,HIPPOGLOSSOIDES PLATESSOIDES	,PLA	,1	,Yes
114	,WITCH		,WITCH FLOUNDER				,GLYPTOCEPHALUS CYNOGLOSSUS	,WIT	,1	,Yes
116	,YELLOWTAIL	,YELLOWTAIL FLOUNDER			,LIMANDA FERRUGINEA		,YEL	,1	,Yes
118	,G HALIBUT	,GREENLAND HALIBUT			,REINHARDTIUS HIPPOGLOSSOIDES	,GHL	,1	,Yes
120	,A HALIBUT	,ATLANTIC HALIBUT			,HIPPOGLOSSUS HIPPOGLOSSUS	,HAL	,1	,Yes
122	,WINTER FLO.	,WINTER FLOUNDER			,PSEUDOPLEURONECTES AMERICANUS	,FLW	,1	,Yes
124	,SUMMER FLO.	,SUMMER FLOUNDER			,PARALICHTHYS DENTATUS		,FLS	,1	,No
125	,WINDOWPANE	,WINDOWPANE FLOUNDER			,SCOPHTHALMUS AQUOSUS		,FLD	,1	,No
126	,EUROPEAN PLAICE,EUROPEAN PLAICE			,PLEURONECTES PLATESSA		,PLE	,1	,No
129	,FLATFISH (NS)	,FLATFISHES (NS)			,PLEURONECTIFORMES		,FLX	,1	,No
132	,ANGLER		,AMERICAN ANGLER			,LOPHIUS AMERICANUS		,ANG	,1	,No
136	,SEAROBINS	,ATLANTIC SEAROBINS			,PRIONOTUS SP.			,SRA	,1	,No
138	,TOMCOD		,ATLANTIC TOMCOD			,MICROGADUS TOMCOD		,TOM	,1	,No
139	,BLUE ANTIMORA	,BLUE ANTIMORA				,ANTIMORA ROSTRATA		,ANT	,1	,No
140	,BLUE WHITING	,BLUE WHITING (POUTASSOU)		,MICROMESISTIUS POUTASSOU	,WHB	,1	,No
141	,WHITING	,WHITING				,MERLANGIUS MERLANGUS		,WHG	,1	,No
142	,CUNNER		,CUNNER					,TAUTOGOLABRUS ADSPERSUS	,CUN	,1	,No
144	,CUSK		,CUSK (TUSK)				,BROSME BROSME			,USK	,1	,No
148	,G COD		,GREENLAND COD				,GADUS OGAC			,GRC	,1	,No
151	,BLUE LING	,BLUE LING				,MOLVA DYPTERYGIA		,BLI	,1	,No
152	,LING		,LING					,MOLVA MOLVA			,LIN	,1	,No
154	,LUMPFISH	,LUMPFISH (LUMPSUCKER)			,CYCLOPTERUS LUMPUS		,LUM	,1	,No
158	,N KINGFISH	,NORTHERN KINGFISH			,MENTICIRRHUS SAXATILIS		,KGF	,1	,No
160	,N PUFFER	,NORTHERN PUFFER			,SPHOEROIDES MACULATUS		,PUF	,1	,No
162	,EELPOUTS	,EELPOUTS (NS)				,LYCODES SP.			,ELZ	,1	,No
164	,OCEAN POUT	,OCEAN POUT				,MACROZOARCES AMERICANUS	,OPT	,1	,No
166	,POLAR COD	,POLAR COD				,BOREOGADUS SAIDA		,POC	,1	,No
168	,R GRENADIER	,ROUNDNOSE GRENADIER			,CORYPHAENOIDES RUPESTRIS	,RNG	,1	,No
169	,RH GRENADIER	,ROUGHHEAD GRENADIER			,MACROURUS BERGLAX		,RHG	,1	,Yes
172	,SANDEELS	,SANDEELS (SANDLANCES)			,AMMODYTES SP.			,SAN	,1	,No
174	,SCULPINS	,SCULPINS (NS)				,MYOXOCEPHALUS SP.		,SCU	,1	,No
176	,SCUP		,SCUP					,STENOTOMUS CHRYSOPS		,SCP	,1	,No
180	,TAUTOG		,TAUTOG					,TAUTOGA ONITIS			,TAU	,1	,No
182	,TILEFISH	,TILEFISH				,LOPHOLATILUS CHAMAELEONTICEPS	,TIL	,1	,No
186	,WHITE HAKE	,WHITE HAKE				,UROPHYCIS TENUIS		,HKW	,1	,Yes
188	,WOLFFISHES	,WOLFFISHES (CATFISH) (NS)		,ANARHICHAS SP.			,CAT	,1	,No
189	,A WOLFFISH	,ATLANTIC WOLFFISH			,ANARHICHAS LUPUS		,CAA	,1	,Yes
190	,S WOLFFISH	,SPOTTED WOLFFISH			,ANARHICHAS MINOR		,CAS	,1	,Yes
191	,N WOLFFISH	,NORTHERN WOLFFISH			,ANARHICHAS DENTICULATUS	,CAB	,1	,No
194	,LONGFIN HAKE	,LONGFIN HAKE				,UROPHYSIS CHESTERI		,GPE	,1	,No
196	,3BEARD ROCKLING,THREEBEARD ROCKLING			,GAIDROPSARUS ENSIS		,GDE	,1	,No
197	,ARCTIC ROCKLING,ARCTIC ROCKLING			,GAIDROPSARUS ARGENTATUS	,GDT	,1	,No
198	,FORKBEARDS	,FORKBEARDS (NS)			,PHYCIS SPP			,FOX	,1	,No
199	,GROUNDFISH (NS),GROUNDFISHES (NS)			,...				,GRO	,1	,No
202	,HERRING	,ATLANTIC HERRING			,CLUPEA HARENGUS		,HER	,2	,Yes
204	,MACKEREL	,ATLANTIC MACKEREL			,SCOMBER SCOMBRUS		,MAC	,2	,Yes
212	,BUTTERFISH	,ATLANTIC BUTTERFISH			,PEPRILUS TRIACANTHUS		,BUT	,2	,No
216	,MENHADEN	,ATLANTIC MENHADEN			,BREVOORTIA TYRANNUS		,MHA	,2	,Yes
220	,SAURY		,ATLANTIC SAURY				,SCOMBERESOX SAURUS		,SAU	,2	,No
224	,BAY ANCHOVY	,BAY ANCHOVY				,ANCHOA MITCHILLI		,ANB	,2	,No
228	,BLUEFISH	,BLUEFISH				,POMATOMUS SALTATRIX		,BLU	,2	,No
232	,CREVALLE	,CREVALLE JACK				,CARANX HIPPOS			,CVJ	,2	,No
236	,FRIGATE TUNA	,FRIGATE TUNA				,AUXIS THAZARD			,FRI	,2	,No
240	,K MACKEREL	,KING MACKEREL				,SCOMBEROMORUS CAVALLA		,KGM	,2	,No
244	,S MACKEREL	,ATLANTIC SPANISH MACKEREL		,SCOMBEROMORUS MACULATUS	,SSM	,2	,No
252	,SAILFISH	,SAILFISH				,ISTIOPHORUS PLATYPTERUS	,SAI	,2	,No
256	,WHITE MARLIN	,ATLANTIC WHITE MARLIN			,TETRAPTURUS ALBIDUS		,WHM	,2	,No
260	,BLUE MARLIN	,ATLANTIC BLUE MARLIN			,MAKAIRA NIGRICANS		,BUM	,2	,No
263	,MAHI MAHI	,MAHI MAHI (DOLPHINFISH)		,CORYPHAENA HIPPURUS		,DOL	,2	,No
264	,SWORDFISH	,SWORDFISH				,XIPHIAS GLADIUS		,SWO	,2	,Yes
272	,ALBACORE TUNA	,ALBACORE TUNA				,THUNNUS ALALUNGA		,ALB	,2	,No
274	,BONITO		,ATLANTIC BONITO			,SARDA SARDA			,BON	,2	,No
276	,LITTLE TUNNY	,LITTLE TUNNY				,EUTHYNNUS ALLETTERATUS		,LTA	,2	,No
278	,BIGEYE TUNA	,BIGEYE TUNA				,THUNNUS OBESUS			,BET	,2	,No
280	,BLUEFIN TUNA	,NORTHERN BLUEFIN TUNA			,THUNNUS THYNNUS		,BFT	,2	,No
282	,SKIPJACK	,SKIPJACK TUNA				,KATSUWONUS PELAMIS		,SKJ	,2	,No
284	,YELLOWFIN	,YELLOWFIN TUNA				,THUNNUS ALBACARES		,YFT	,2	,No
289	,TUNAS (NS)	,TUNAS (NS)				,SCOMBRIDAE			,TUN	,2	,No
299	,PELAGICS (NS)	,PELAGIC FISHES (NS)			,...				,PEL	,2	,No
302	,ALEWIFE	,ALEWIFE				,ALOSA 	PSEUDOHARENGUS		,ALE	,3	,No
304	,AMBERJACKS	,AMBERJACKS (NS)			,SERIOLA SP.			,AMX	,3	,No
306	,CONGER		,AMERICAN CONGER			,CONGER OCEANICUS		,COA	,3	,No
308	,A EEL		,AMERICAN EEL				,ANGUILLA ROSTRATA		,ELA	,3	,No
309	,HAGEFISH	,ATLANTIC HAGEFISH			,MYXINE GLUTINOSA		,MYG	,3	,No
310	,A SHAD		,AMERICAN SHAD				,ALOSA SAPIDISSIMA		,SHA	,3	,No
312	,ARGENTINES	,ARGENTINES (NS)			,ARGENTINA SP.			,ARG	,3	,No
314	,A CROAKER	,ATLANTIC CROAKER			,MICROPOGONIAS UNDULATUS	,CKA	,3	,No
316	,A NEEDLEFISH	,ATLANTIC NEEDLEFISH			,STRONGYLURA MARINA		,NFA	,3	,No
318	,A SALMON	,ATLANTIC SALMON			,SALMO SALAR			,SAL	,3	,No
