Countries: VEN(NC), E/GBR, SUN, UKR, E/ESP, KOR, RUS, ROM, E/PRT, E/POL, NOR, E/NLD, MEX(NC), E/LTU, E/LVA, JPN, E/ITA, ISR(NC), E/IRL, ISL, HND(NC), DDR, FRA-SP, E/FRA-M, FRA, FRO, EU, E/EST, E/DNK, GRL, CUB, CAN-Q, CAN-N, CAN-MQ, CAN-M, CAN-CA, BGR, E/BEL 
 Divisions: 4X 
 Species: All Species 
 Years: 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012

Extraction Date: 25 Jul 2013
Last Database Update: 14 Jun 2013

Year,Country,Division,Species,Species_ASFIS,Catch ('000 Kg),
2011,Canada Maritimes,4X,Soft Clam,CLS,1050,
2011,Canada Maritimes,4X,American Eel,ELA,1,
2011,Canada Maritimes,4X,Atlantic Hagefish,MYG,488,
2011,Canada Maritimes,4X,American Shad,SHA,4,
2011,Canada Maritimes,4X,Mullets (ns),MUL,0,
2011,Canada Maritimes,4X,Rainbow Smelt,SMR,1,
2011,Canada Maritimes,4X,Striped Bass,STB,12,
2011,Canada Maritimes,4X,Sturgeons (ns),STU,0,
2011,Canada Maritimes,4X,Dogfishes (ns),DGX,124,
2011,Canada Maritimes,4X,Porbeagle,POR,17,
2011,Canada Maritimes,4X,Shortfin Mako Shark,SMA,13,
2011,Canada Maritimes,4X,Large Sharks (ns),SHX,4,
2011,Canada Maritimes,4X,Skates (ns),SKA,67,
2011,Canada Maritimes,4X,Squids (ns),SQU,2,
2011,Canada Maritimes,4X,Alewife,ALE,622,
2011,Canada Maritimes,4X,Queen Crab,CRQ,328,
2011,Russia,4X,(northern) Shortfin Squid,SQI,1,
2011,Canada Maritimes,4X,Squids (ns),SQU,1110,
2011,Canada Maritimes,4X,Seaweeds (ns),SWX,12348,
2011,Canada Maritimes,4X,Red Seaweeds,SWR,511,
2011,Canada Maritimes,4X,Sea Urchin,URC,1200,
2011,Canada Maritimes,4X,Hard Clam,CLH,296,
2011,Canada Maritimes,4X,American Lobster,LBA,29515,
2011,Canada Maritimes,4X,Ocean Quahog,CLQ,43,
2011,Canada Maritimes,4X,Jonah Crab,CRJ,218,
2011,Canada Maritimes,4X,Atlantic Rock Crab,CRK,130,
2011,Canada Maritimes,4X,Periwinkles (ns),PER,2,
2011,Canada Maritimes,4X,Sea Scallop,SCA,18952,
2011,Canada Maritimes,4X,Stimpson's Surf Clam,CLT,1,
2011,Canada Maritimes,4X,Surf Clam,CLB,0,
2011,Canada Maritimes,4X,Pink (=pandalid) Shrimps,PAN,28,
2011,Canada Maritimes,4X,Witch Flounder,WIT,109,
2011,Russia,4X,Silver Hake,HKS,1,
2011,Canada Maritimes,4X,Clams (ns),CLX,7,
2011,Canada Maritimes,4X,Tunas (ns),TUN,0,
2011,Canada Maritimes,4X,Atlantic Cod,COD,1435,
2011,Canada Maritimes,4X,Haddock,HAD,3728,
2011,Canada Maritimes,4X,Atlantic Redfishes (ns),RED,5994,
2011,Canada Maritimes,4X,Silver Hake,HKS,1033,
2011,Canada Maritimes,4X,Red Hake,HKR,18,
2011,Canada Maritimes,4X,American Plaice,PLA,26,
2011,Canada Maritimes,4X,Yellowtail Flounder,YEL,4,
2011,Canada Maritimes,4X,Greenland Halibut,GHL,4,
2011,Canada Maritimes,4X,Atlantic Halibut,HAL,667,
2011,Canada Maritimes,4X,Winter Flounder,FLW,1261,
2011,Canada Maritimes,4X,Flatfishes (ns),FLX,131,
2011,Canada Maritimes,4X,Albacore Tuna,ALB,21,
2011,Canada Maritimes,4X,Skipjack Tuna,SKJ,0,
2011,Canada Maritimes,4X,Northern Bluefin Tuna,BFT,151,
2011,Canada Maritimes,4X,Pollock (saithe),POK,3538,
2011,Canada Maritimes,4X,Bigeye Tuna,BET,84,
