Countries: VEN(NC), E/GBR, SUN, UKR, E/ESP, KOR, RUS, ROM, E/PRT, E/POL, NOR, E/NLD, MEX(NC), E/LTU, E/LVA, JPN, E/ITA, ISR(NC), E/IRL, ISL, HND(NC), DDR, FRA-SP, E/FRA-M, FRA, FRO, EU, E/EST, E/DNK, GRL, CUB, CAN-Q, CAN-N, CAN-MQ, CAN-M, CAN-CA, BGR, E/BEL 
 Divisions: 4X 
 Species: All Species 
 Years: 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012

Extraction Date: 25 Jul 2013
Last Database Update: 14 Jun 2013

Year,Country,Division,Species,Species_ASFIS,Catch ('000 Kg),
2011,Canada Maritimes,4X,American Angler,ANG,160,
2011,Canada Maritimes,4X,Mahi Mahi (dolphinfish),DOL,2,
2011,Canada Maritimes,4X,Swordfish,SWO,503,
2011,Canada Maritimes,4X,Atlantic White Marlin,WHM,0,
2011,Canada Maritimes,4X,Atlantic Mackerel,MAC,388,
2011,Canada Maritimes,4X,Cusk (tusk),USK,340,
2011,Canada Maritimes,4X,Atlantic Herring,HER,50924,
2011,Canada Maritimes,4X,Groundfishes (ns),GRO,2,
2011,Canada Maritimes,4X,White Hake,HKW,1405,
2011,Canada Maritimes,4X,Tilefish,TIL,1,
2011,Canada Maritimes,4X,Sculpins (ns),SCU,429,
2010,Canada Maritimes,4X,White Hake,HKW,1219,
2010,Canada Maritimes,4X,Wolffishes (catfish) (ns),CAT,0,
2010,Canada Maritimes,4X,Groundfishes (ns),GRO,1,
2010,Canada Maritimes,4X,Atlantic Herring,HER,56589,
2010,Canada Maritimes,4X,Atlantic Mackerel,MAC,415,
2010,Canada Maritimes,4X,Alewife,ALE,386,
2010,Canada Maritimes,4X,American Eel,ELA,17,
2010,Canada Maritimes,4X,Atlantic Hagefish,MYG,647,
2010,Canada Maritimes,4X,American Shad,SHA,8,
2010,Canada Maritimes,4X,Shortfin Mako Shark,SMA,6,
2010,Canada Maritimes,4X,Dogfishes (ns),DGX,5,
2010,Canada Maritimes,4X,Tilefish,TIL,0,
2010,Canada Maritimes,4X,Large Sharks (ns),SHX,3,
2010,Canada Maritimes,4X,Porbeagle,POR,28,
2010,Canada Maritimes,4X,Great Blue Shark,BSH,0,
2010,Canada Maritimes,4X,Haddock,HAD,5633,
2010,Canada Maritimes,4X,Rainbow Smelt,SMR,0,
2010,Canada Maritimes,4X,Greenland Halibut,GHL,0,
2010,Canada Maritimes,4X,Striped Bass,STB,0,
2010,Canada Maritimes,4X,Skates (ns),SKA,5,
2010,Canada Maritimes,4X,Atlantic Cod,COD,2885,
2010,Canada Maritimes,4X,Atlantic Redfishes (ns),RED,4622,
2010,Canada Maritimes,4X,Red Hake,HKR,22,
2010,Canada Maritimes,4X,Pollock (saithe),POK,3533,
2010,Canada Maritimes,4X,American Plaice,PLA,56,
2010,Canada Maritimes,4X,Silver Hake,HKS,177,
2010,Canada Maritimes,4X,Yellowtail Flounder,YEL,20,
2010,Canada Maritimes,4X,Sculpins (ns),SCU,360,
2010,Canada Maritimes,4X,Atlantic Halibut,HAL,605,
2010,Canada Maritimes,4X,Winter Flounder,FLW,1301,
2010,Canada Maritimes,4X,Summer Flounder,FLS,0,
2010,Canada Maritimes,4X,Flatfishes (ns),FLX,312,
2010,Canada Maritimes,4X,American Angler,ANG,145,
2010,Canada Maritimes,4X,Atlantic Tomcod,TOM,0,
2010,Canada Maritimes,4X,Cusk (tusk),USK,362,
2010,Canada Maritimes,4X,Witch Flounder,WIT,97,
2010,Canada Maritimes,4X,Seaweeds (ns),SWX,35996,
2010,Canada Maritimes,4X,Argentines (ns),ARG,0,
2010,Canada Maritimes,4X,Finfishes (ns),FIN,0,
2010,Canada Maritimes,4X,Red Seaweeds,SWR,1625,
2010,Canada Maritimes,4X,Sea Urchin,URC,1272,
2010,Canada Maritimes,4X,Pink (=pandalid) Shrimps,PAN,498,
2010,Canada Maritimes,4X,American Lobster,LBA,28979,
2010,Canada Maritimes,4X,Queen Crab,CRQ,254,
2010,Canada Maritimes,4X,Jonah Crab,CRJ,219,
2010,Canada Maritimes,4X,Atlantic Rock Crab,CRK,139,
2010,Canada Maritimes,4X,Hard Clam,CLH,361,
2010,Canada Maritimes,4X,Sea Scallop,SCA,12666,
2010,Canada Maritimes,4X,Clams (ns),CLX,3,
2010,Canada Maritimes,4X,Stimpson's Surf Clam,CLT,9,
2010,Canada Maritimes,4X,Surf Clam,CLB,2,
2010,Canada Maritimes,4X,Soft Clam,CLS,532,
2010,Canada Maritimes,4X,Ocean Quahog,CLQ,5,
2010,Canada Maritimes,4X,Squids (ns),SQU,0,
2010,Canada Maritimes,4X,Periwinkles (ns),PER,14,
2009,Canada Maritimes,4X,Shortfin Mako Shark,SMA,18,
2009,Canada Maritimes,4X,Porbeagle,POR,21,
2009,Canada Maritimes,4X,Dogfishes (ns),DGX,113,
2009,Canada Maritimes,4X,Striped Bass,STB,0,
2009,Canada Maritimes,4X,Large Sharks (ns),SHX,0,
2009,Canada Maritimes,4X,American Shad,SHA,2,
2009,Canada Maritimes,4X,Soft Clam,CLS,338,
2009,Canada Maritimes,4X,Atlantic Hagefish,MYG,217,
2009,Canada Maritimes,4X,Argentines (ns),ARG,0,
2009,Canada Maritimes,4X,Large Sharks (ns),SHX,3,
2009,Canada Maritimes,4X,Skates (ns),SKA,12,
2009,Canada Maritimes,4X,Sea Scallop,SCA,11834,
2009,Canada Maritimes,4X,Ocean Quahog,CLQ,0,
2009,Canada Maritimes,4X,Stimpson's Surf Clam,CLT,9,
2009,Canada Maritimes,4X,Clams (ns),CLX,1,
2009,Canada Maritimes,4X,Alewife,ALE,9,
2009,Canada Maritimes,4X,Winter Flounder,FLW,805,
2009,Canada Maritimes,4X,Periwinkles (ns),PER,13,
2009,Canada Maritimes,4X,Hard Clam,CLH,459,
2009,Canada Maritimes,4X,Red Crab,CRR,0,
2009,Canada Maritimes,4X,Haddock,HAD,5474,
2009,Canada Maritimes,4X,Atlantic Redfishes (ns),RED,4456,
2009,Canada Maritimes,4X,Silver Hake,HKS,2432,
2009,Canada Maritimes,4X,Red Hake,HKR,46,
2009,Canada Maritimes,4X,Pollock (saithe),POK,4410,
2009,Canada Maritimes,4X,American Plaice,PLA,23,
2009,Canada Maritimes,4X,Witch Flounder,WIT,123,
2009,Canada Maritimes,4X,Yellowtail Flounder,YEL,13,
2009,Canada Maritimes,4X,American Angler,ANG,226,
2009,Canada Maritimes,4X,Atlantic Halibut,HAL,593,
2009,Canada Maritimes,4X,Atlantic White Marlin,WHM,0,
2009,Canada Maritimes,4X,Flatfishes (ns),FLX,278,
2009,Canada Maritimes,4X,Cusk (tusk),USK,453,
2009,Canada Maritimes,4X,Sculpins (ns),SCU,335,
2009,Canada Maritimes,4X,Tilefish,TIL,0,
2009,Canada Maritimes,4X,White Hake,HKW,1016,
2009,Canada Maritimes,4X,Groundfishes (ns),GRO,12,
2009,Canada Maritimes,4X,Atlantic Herring,HER,53355,
2009,Canada Maritimes,4X,Atlantic Mackerel,MAC,964,
2009,Canada Maritimes,4X,Greenland Halibut,GHL,1,
2009,Canada Maritimes,4X,Jonah Crab,CRJ,149,
2009,Canada Maritimes,4X,Queen Crab,CRQ,275,
2009,Canada Maritimes,4X,American Lobster,LBA,23019,
2009,Canada Maritimes,4X,Pink (=pandalid) Shrimps,PAN,16,
2009,Canada Maritimes,4X,Sea Urchin,URC,1228,
2009,Canada Maritimes,4X,Red Seaweeds,SWR,423,
2009,Canada Maritimes,4X,Seaweeds (ns),SWX,13445,
2009,Canada Maritimes,4X,Wolffishes (catfish) (ns),CAT,908,
2009,Canada Maritimes,4X,Atlantic Cod,COD,3130,
2009,Canada Maritimes,4X,Atlantic Rock Crab,CRK,145,
2008,Canada Maritimes,4X,Atlantic Rock Crab,CRK,163,
2008,Canada Maritimes,4X,Periwinkles (ns),PER,12,
2008,Canada Maritimes,4X,Sea Scallop,SCA,15929,
2008,Canada Maritimes,4X,Clams (ns),CLX,1,
2008,Canada Maritimes,4X,Stimpson's Surf Clam,CLT,28,
2008,Canada Maritimes,4X,Jonah Crab,CRJ,380,
2008,Canada Maritimes,4X,Soft Clam,CLS,214,
2008,Canada Maritimes,4X,Marine Invertebrates (ns),INV,1150,
2008,Canada Maritimes,4X,Hard Clam,CLH,327,
2008,Canada Maritimes,4X,Surf Clam,CLB,2,
2008,Canada Maritimes,4X,Queen Crab,CRQ,349,
2008,Canada Maritimes,4X,American Lobster,LBA,24405,
2008,Canada Maritimes,4X,Sea Urchin,URC,1654,
2008,Canada Maritimes,4X,Skates (ns),SKA,7,
2008,Canada Maritimes,4X,Red Seaweeds,SWR,137,
2008,Canada Maritimes,4X,Red Seaweeds,SWR,137,
2008,Canada Maritimes,4X,Red Seaweeds,SWR,137,
2008,Canada Maritimes,4X,Seaweeds (ns),SWX,11321,
2008,Canada Maritimes,4X,Seaweeds (ns),SWX,11321,
2008,Canada Maritimes,4X,Seaweeds (ns),SWX,11321,
2008,Canada Maritimes,4X,Ocean Quahog,CLQ,2,
2008,Canada Maritimes,4X,Pink (=pandalid) Shrimps,PAN,1,
2008,Canada Maritimes,4X,Striped Bass,STB,0,
2008,Canada Maritimes,4X,Sculpins (ns),SCU,144,
2008,Canada Maritimes,4X,Tilefish,TIL,3,
2008,Canada Maritimes,4X,White Hake,HKW,1197,
2008,Canada Maritimes,4X,Wolffishes (catfish) (ns),CAT,28,
2008,Canada Maritimes,4X,Groundfishes (ns),GRO,3,
2008,Canada Maritimes,4X,Atlantic Herring,HER,62521,
2008,Canada Maritimes,4X,Atlantic Mackerel,MAC,1003,
2008,Canada Maritimes,4X,Alewife,ALE,6,
2008,Canada Maritimes,4X,American Eel,ELA,0,
2008,Canada Maritimes,4X,Finfishes (ns),FIN,1150,
2008,Canada Maritimes,4X,American Shad,SHA,5,
2008,Canada Maritimes,4X,Squids (ns),SQU,1150,
2008,Canada Maritimes,4X,Dogfishes (ns),DGX,1536,
2008,Canada Maritimes,4X,Porbeagle,POR,41,
2008,Canada Maritimes,4X,Shortfin Mako Shark,SMA,16,
2008,Canada Maritimes,4X,Great Blue Shark,BSH,0,
2008,Canada Maritimes,4X,Large Sharks (ns),SHX,4,
2008,Canada Maritimes,4X,Large Sharks (ns),SHX,1150,
2008,Canada Maritimes,4X,Finfishes (ns),FIN,1150,
2008,Canada Maritimes,4X,Finfishes (ns),FIN,1150,
2008,Canada Maritimes,4X,Finfishes (ns),FIN,11,
2008,Canada Maritimes,4X,Atlantic Hagefish,MYG,336,
2008,Canada Maritimes,4X,Flatfishes (ns),FLX,213,
2008,Canada Maritimes,4X,Hard Clam,CLH,327,
2008,Canada Maritimes,4X,Atlantic Cod,COD,4135,
2008,Canada Maritimes,4X,Lumpfish (lumpsucker),LUM,0,
2008,Canada Maritimes,4X,American Angler,ANG,238,
2008,Canada Maritimes,4X,Winter Flounder,FLW,890,
2008,Canada Maritimes,4X,Atlantic Halibut,HAL,473,
2008,Canada Maritimes,4X,Greenland Halibut,GHL,1,
2008,Canada Maritimes,4X,Atlantic Redfishes (ns),RED,3850,
2008,Canada Maritimes,4X,Cusk (tusk),USK,507,
2008,Canada Maritimes,4X,Haddock,HAD,5371,
2008,Canada Maritimes,4X,Yellowtail Flounder,YEL,5,
2008,Canada Maritimes,4X,Silver Hake,HKS,1006,
2008,Canada Maritimes,4X,Red Hake,HKR,69,
2008,Canada Maritimes,4X,Pollock (saithe),POK,4239,
2008,Canada Maritimes,4X,American Plaice,PLA,15,
2008,Canada Maritimes,4X,Witch Flounder,WIT,126,
2007,Canada Maritimes,4X,Large Sharks (ns),SHX,5,
2007,Canada Maritimes,4X,Seaweeds (ns),SWX,11333,
2007,Canada Maritimes,4X,Atlantic Herring,HER,83933,
2007,Canada Maritimes,4X,Atlantic Mackerel,MAC,1927,
2007,Canada Maritimes,4X,Alewife,ALE,6,
2007,Canada Maritimes,4X,Atlantic Hagefish,MYG,363,
2007,Canada Maritimes,4X,Dogfishes (ns),DGX,2362,
2007,Canada Maritimes,4X,Porbeagle,POR,18,
2007,Canada Maritimes,4X,Shortfin Mako Shark,SMA,20,
2007,Canada Maritimes,4X,Groundfishes (ns),GRO,7,
2007,Canada Maritimes,4X,Soft Clam,CLS,354,
2007,Canada Maritimes,4X,Sea Scallop,SCA,24533,
2007,Canada Maritimes,4X,Periwinkles (ns),PER,20,
2007,Canada Maritimes,4X,Atlantic Rock Crab,CRK,116,
2007,Canada Maritimes,4X,Jonah Crab,CRJ,500,
2007,Canada Maritimes,4X,Queen Crab,CRQ,211,
2007,Canada Maritimes,4X,American Lobster,LBA,18315,
2007,Canada Maritimes,4X,Wolffishes (catfish) (ns),CAT,44,
2007,Canada Maritimes,4X,Red Seaweeds,SWR,163,
2007,Canada Maritimes,4X,American Angler,ANG,189,
2007,Canada Maritimes,4X,Sea Urchin,URC,1226,
2007,Canada Maritimes,4X,Haddock,HAD,6867,
2007,Canada Maritimes,4X,Skates (ns),SKA,23,
2007,Canada Maritimes,4X,Hard Clam,CLH,194,
2007,Canada Maritimes,4X,Sculpins (ns),SCU,141,
2007,Canada Maritimes,4X,Ocean Quahog,CLQ,12,
2007,Canada Maritimes,4X,White Hake,HKW,879,
2007,Canada Maritimes,4X,Atlantic Redfishes (ns),RED,3082,
2007,Canada Maritimes,4X,Silver Hake,HKS,1697,
2007,Canada Maritimes,4X,Red Hake,HKR,29,
2007,Canada Maritimes,4X,Pollock (saithe),POK,4524,
2007,Canada Maritimes,4X,Cusk (tusk),USK,838,
2007,Canada Maritimes,4X,Witch Flounder,WIT,147,
2007,Canada Maritimes,4X,Yellowtail Flounder,YEL,21,
2007,Canada Maritimes,4X,Greenland Halibut,GHL,6,
2007,Canada Maritimes,4X,Atlantic Halibut,HAL,459,
2007,Canada Maritimes,4X,Winter Flounder,FLW,1041,
2007,Canada Maritimes,4X,Flatfishes (ns),FLX,224,
2007,Canada Maritimes,4X,Atlantic Cod,COD,3811,
2007,Canada Maritimes,4X,American Plaice,PLA,63,
2006,Canada Maritimes,4X,Flatfishes (ns),FLX,204,
2006,Canada Maritimes,4X,American Angler,ANG,334,
2006,Canada Maritimes,4X,Cusk (tusk),USK,663,
2006,Canada Maritimes,4X,Winter Flounder,FLW,807,
2006,Canada Maritimes,4X,White Hake,HKW,1133,
2006,Canada Maritimes,4X,Red Hake,HKR,5,
2006,Canada Maritimes,4X,Sculpins (ns),SCU,188,
2006,Canada Maritimes,4X,Atlantic Halibut,HAL,491,
2006,Canada Maritimes,4X,Yellowtail Flounder,YEL,16,
2006,Canada Maritimes,4X,Witch Flounder,WIT,129,
2006,Canada Maritimes,4X,Pollock (saithe),POK,2936,
2006,Canada Maritimes,4X,Wolffishes (catfish) (ns),CAT,59,
2006,Canada Maritimes,4X,Skates (ns),SKA,22,
2006,Canada Maritimes,4X,American Plaice,PLA,30,
2006,Canada Maritimes,4X,Red Crab,CRR,9,
2006,Canada Maritimes,4X,Shortfin Mako Shark,SMA,20,
2006,Canada Maritimes,4X,Haddock,HAD,4742,
2006,Canada Maritimes,4X,Atlantic Herring,HER,66037,
2006,Canada Maritimes,4X,Atlantic Redfishes (ns),RED,2986,
2006,Canada Maritimes,4X,Silver Hake,HKS,244,
2006,Canada Maritimes,4X,Seaweeds (ns),SWX,34905,
2006,Canada Maritimes,4X,Red Seaweeds,SWR,3045,
2006,Canada Maritimes,4X,Sea Urchin,URC,1180,
2006,Canada Maritimes,4X,American Lobster,LBA,26044,
2006,Canada Maritimes,4X,Queen Crab,CRQ,359,
2006,Canada Maritimes,4X,Jonah Crab,CRJ,406,
2006,Canada Maritimes,4X,Atlantic Rock Crab,CRK,177,
2006,Canada Maritimes,4X,Periwinkles (ns),PER,116,
2006,Canada Maritimes,4X,Argentines (ns),ARG,1,
2006,Canada Maritimes,4X,Atlantic Mackerel,MAC,1302,
2006,Canada Maritimes,4X,Pink (=pandalid) Shrimps,PAN,4,
2006,Canada Maritimes,4X,American Shad,SHA,2,
2006,Canada Maritimes,4X,Sea Scallop,SCA,23814,
2006,Canada Maritimes,4X,Dogfishes (ns),DGX,2278,
2006,Canada Maritimes,4X,Porbeagle,POR,23,
2006,Canada Maritimes,4X,Atlantic Cod,COD,3703,
2006,Canada Maritimes,4X,Hard Clam,CLH,380,
2006,Canada Maritimes,4X,Soft Clam,CLS,569,
2006,Canada Maritimes,4X,Clams (ns),CLX,1,
2006,Canada Maritimes,4X,Large Sharks (ns),SHX,1,
2006,Canada Maritimes,4X,Atlantic Hagefish,MYG,532,
2005,Canada Maritimes,4X,Atlantic Mackerel,MAC,2530,
2005,Canada Maritimes,4X,Lumpfish (lumpsucker),LUM,0,
2005,Canada Maritimes,4X,Roundnose Grenadier,RNG,0,
2005,Canada Maritimes,4X,Sculpins (ns),SCU,180,
2005,Canada Maritimes,4X,Tilefish,TIL,1,
2005,Canada Maritimes,4X,White Hake,HKW,1743,
2005,Canada Maritimes,4X,Wolffishes (catfish) (ns),CAT,87,
2005,Canada Maritimes,4X,Atlantic Herring,HER,62794,
2005,Canada Maritimes,4X,Atlantic Cod,COD,4113,
2005,Canada Maritimes,4X,Atlantic Blue Marlin,BUM,0,
2005,Canada Maritimes,4X,Cusk (tusk),USK,723,
2005,Canada Maritimes,4X,Groundfishes (ns),GRO,1,
2005,Canada Maritimes,4X,American Angler,ANG,936,
2005,Canada Maritimes,4X,Flatfishes (ns),FLX,183,
2005,Canada Maritimes,4X,Winter Flounder,FLW,660,
2005,Canada Maritimes,4X,Atlantic Halibut,HAL,382,
2005,Canada Maritimes,4X,Greenland Halibut,GHL,2,
2005,Canada Maritimes,4X,Yellowtail Flounder,YEL,20,
2005,Canada Maritimes,4X,Witch Flounder,WIT,284,
2005,Canada Maritimes,4X,American Plaice,PLA,29,
2005,Canada Maritimes,4X,Pollock (saithe),POK,5614,
2005,Canada Maritimes,4X,Red Hake,HKR,7,
2005,Canada Maritimes,4X,Silver Hake,HKS,508,
2005,Canada Maritimes,4X,Haddock,HAD,5630,
2005,Canada Maritimes,4X,Swordfish,SWO,248,
2005,Canada Maritimes,4X,Alewife,ALE,0,
2005,Canada Maritimes,4X,Atlantic Redfishes (ns),RED,3169,
2005,Canada Maritimes,4X,Jonah Crab,CRJ,605,
2005,Canada Maritimes,4X,Atlantic Hagefish,MYG,261,
2005,Canada Maritimes,4X,Sea Urchin,URC,1498,
2005,Canada Maritimes,4X,Pink (=pandalid) Shrimps,PAN,2,
2005,Canada Maritimes,4X,American Lobster,LBA,25869,
2005,Canada Maritimes,4X,Marine Crabs (ns),CRA,3,
2005,Canada Maritimes,4X,Atlantic White Marlin,WHM,0,
2005,Canada Maritimes,4X,Queen Crab,CRQ,318,
2005,Canada Maritimes,4X,Atlantic Rock Crab,CRK,213,
2005,Canada Maritimes,4X,Sea Scallop,SCA,24765,
2005,Canada Maritimes,4X,Clams (ns),CLX,0,
2005,Canada Maritimes,4X,Stimpson's Surf Clam,CLT,2,
2005,Canada Maritimes,4X,Shortfin Mako Shark,SMA,17,
2005,Canada Maritimes,4X,Red Crab,CRR,23,
2005,Canada Maritimes,4X,Surf Clam,CLB,0,
2005,Canada Maritimes,4X,Porbeagle,POR,19,
2005,Canada Maritimes,4X,Argentines (ns),ARG,2,
2005,Canada Maritimes,4X,Large Sharks (ns),SHX,8,
2005,Canada Maritimes,4X,Skates (ns),SKA,37,
2005,Canada Maritimes,4X,American Shad,SHA,3,
2005,Canada Maritimes,4X,Squids (ns),SQU,0,
2005,Canada Maritimes,4X,Hard Clam,CLH,446,
2005,Canada Maritimes,4X,Ocean Quahog,CLQ,36,
2005,Canada Maritimes,4X,Soft Clam,CLS,870,
2005,Canada Maritimes,4X,Dogfishes (ns),DGX,2221,
2004,Canada Maritimes,4X,Atlantic White Marlin,WHM,0,
2004,Canada Maritimes,4X,Wolffishes (catfish) (ns),CAT,114,
2004,Canada Maritimes,4X,Groundfishes (ns),GRO,4,
2004,Canada Maritimes,4X,Atlantic Herring,HER,99522,
2004,Canada Maritimes,4X,Atlantic Mackerel,MAC,4167,
2004,Canada Maritimes,4X,Swordfish,SWO,263,
2004,Canada Maritimes,4X,Alewife,ALE,5,
2004,Canada Maritimes,4X,Atlantic Hagefish,MYG,746,
2004,Canada Maritimes,4X,American Shad,SHA,10,
2004,Canada Maritimes,4X,Dogfishes (ns),DGX,2332,
2004,Canada Maritimes,4X,American Plaice,PLA,44,
2004,Canada Maritimes,4X,Argentines (ns),ARG,0,
2004,Canada Maritimes,4X,White Hake,HKW,1551,
2004,Canada Maritimes,4X,Tilefish,TIL,0,
2004,Canada Maritimes,4X,Lumpfish (lumpsucker),LUM,0,
2004,Canada Maritimes,4X,Cusk (tusk),USK,575,
2004,Canada Maritimes,4X,American Angler,ANG,1020,
2004,Canada Maritimes,4X,Flatfishes (ns),FLX,188,
2004,Canada Maritimes,4X,Summer Flounder,FLS,0,
2004,Canada Maritimes,4X,Winter Flounder,FLW,875,
2004,Canada Maritimes,4X,Atlantic Halibut,HAL,358,
2004,Canada Maritimes,4X,Greenland Halibut,GHL,3,
2004,Canada Maritimes,4X,Porbeagle,POR,66,
2004,Canada Maritimes,4X,Witch Flounder,WIT,277,
2004,Canada Maritimes,4X,Periwinkles (ns),PER,117,
2004,Canada Maritimes,4X,Yellowtail Flounder,YEL,22,
2004,Canada Maritimes,4X,Atlantic Rock Crab,CRK,230,
2004,Canada Maritimes,4X,Atlantic Cod,COD,5011,
2004,Canada Maritimes,4X,Haddock,HAD,6521,
2004,Canada Maritimes,4X,Atlantic Redfishes (ns),RED,2067,
2004,Canada Maritimes,4X,Silver Hake,HKS,1140,
2004,Canada Maritimes,4X,Red Hake,HKR,15,
2004,Canada Maritimes,4X,Seaweeds (ns),SWX,31376,
2004,Canada Maritimes,4X,Red Seaweeds,SWR,2670,
2004,Canada Maritimes,4X,Sea Urchin,URC,1290,
2004,Canada Maritimes,4X,Pink (=pandalid) Shrimps,PAN,1,
2004,Canada Maritimes,4X,American Lobster,LBA,22417,
2004,Canada Maritimes,4X,Marine Crabs (ns),CRA,1,
2004,Canada Maritimes,4X,Red Crab,CRR,24,
2004,Canada Maritimes,4X,Clams (ns),CLX,1,
2004,Canada Maritimes,4X,Jonah Crab,CRJ,856,
2004,Canada Maritimes,4X,Shortfin Mako Shark,SMA,24,
2004,Canada Maritimes,4X,Sea Scallop,SCA,41526,
2004,Canada Maritimes,4X,Pollock (saithe),POK,6142,
2004,Canada Maritimes,4X,Stimpson's Surf Clam,CLT,17,
2004,Canada Maritimes,4X,Surf Clam,CLB,3,
2004,Canada Maritimes,4X,Soft Clam,CLS,1130,
2004,Canada Maritimes,4X,Ocean Quahog,CLQ,19,
2004,Canada Maritimes,4X,Hard Clam,CLH,326,
2004,Canada Maritimes,4X,Squids (ns),SQU,3,
2004,Canada Maritimes,4X,Finfishes (ns),FIN,12,
2004,Canada Maritimes,4X,Skates (ns),SKA,31,
2004,Canada Maritimes,4X,Large Sharks (ns),SHX,1,
2004,Canada Maritimes,4X,Queen Crab,CRQ,259,
2003,Canada Maritimes,4X,White Hake,HKW,1631,
2003,Canada Maritimes,4X,Clams (ns),CLX,3,
2003,Canada Maritimes,4X,Atlantic Hagefish,MYG,779,
2003,Canada Maritimes,4X,American Shad,SHA,15,
2003,Canada Maritimes,4X,Dogfishes (ns),DGX,1139,
2003,Canada Maritimes,4X,Porbeagle,POR,73,
2003,Canada Maritimes,4X,Shortfin Mako Shark,SMA,18,
2003,Canada Maritimes,4X,Large Sharks (ns),SHX,5,
2003,Canada Maritimes,4X,Skates (ns),SKA,19,
2003,Canada Maritimes,4X,(northern) Shortfin Squid,SQI,7,
2003,Canada Maritimes,4X,Hard Clam,CLH,263,
2003,Canada Maritimes,4X,Ocean Quahog,CLQ,13,
2003,Canada Maritimes,4X,Cusk (tusk),USK,750,
2003,Canada Maritimes,4X,Stimpson's Surf Clam,CLT,11,
